rule_id,domain,source_file,source_symbol,approx_chars,inject_path,used_by_features,engines,priority,tags,inject_mode,index_today,phase_target,notes
ANALYSIS-CHAT-DIFF,analysis,analysis_rules.py,ANALYSIS_CHAT_DIFF_RULES,650,chat_system_prompt via append_analysis_chat_diff_rules,analysis_chat,analysis,required,knowledge-diff;chat;ops,full_block,no,3,
ANALYSIS-TC-CHECKLIST,analysis,analysis_rules.py,ANALYSIS_TC_READINESS_CHECKLIST,1800,append_analysis_tc_checklist (tests only),analysis_enrich (unused),analysis,optional,tc-readiness;checklist,not_wired,no,3,Defined but not wired to enrich pipeline
ANALYSIS-HEURISTIC-SANITIZE,analysis,knowledge_builder.py,_sanitize_knowledge_payload / _is_junk_feature,0,runtime Python,analysis_heuristic;analysis_enrich,analysis,required,features;validation;sanitize,runtime_only,yes,0,Deterministic — not LLM prompt
TC-GEN-DEFAULT,tc_gen,tc_generation_rules.py,DEFAULT_TC_GENERATION_RULES,5500,get_tc_generation_rules (no engine lock),tc_gen_mixed,all,required,coverage;module;format;self-check,full_block,no,4,Used when preferred_engine unset
TC-GEN-COMPACT-SHARED,tc_gen,tc_generation_rules.py,COMPACT_SHARED_TC_RULES,900,get_tc_generation_rules (unit full),tc_gen_unit,unit,required,format;module;self-check,full_block,no,2,
TC-GEN-E2E-COMPACT,tc_gen,tc_generation_rules.py,E2E_COMPACT_SHARED_TC_RULES,450,get_tc_generation_rules (e2e full),tc_gen_e2e,e2e,required,format;e2e-module,full_block,no,2,
TC-GEN-SPEED-SHARED,tc_gen,tc_generation_rules.py,SPEED_SHARED_TC_RULES,550,get_tc_generation_rules (unit fast),tc_gen_unit,unit,optional,speed;format,full_block,no,3,
TC-GEN-E2E-SPEED,tc_gen,tc_generation_rules.py,E2E_SPEED_SHARED_TC_RULES,400,get_tc_generation_rules (e2e fast),tc_gen_e2e,e2e,optional,speed;e2e-format,full_block,no,3,
TC-GEN-UNIT-FROM-ANALYSIS,tc_gen,unit_tc_analysis_rules.py,UNIT_TC_FROM_ANALYSIS_RULES,1400,engine_generation_rules(unit),tc_gen_unit,unit,required,traceability;features;validation;br;map,full_block,no,2,Prepended before compact shared in jobs.py
TC-GEN-UNIT-FROM-ANALYSIS-FAST,tc_gen,unit_tc_analysis_rules.py,UNIT_TC_FROM_ANALYSIS_RULES_FAST,600,engine_generation_rules(unit speed),tc_gen_unit,unit,optional,traceability;speed,full_block,no,3,
TC-GEN-UNIT-OVERLAY,tc_gen,tc_generation_rules.py,engine_generation_rules unit overlay,800,engine_generation_rules(unit),tc_gen_unit,unit,required,aaa;bootstrap;focus;speed,full_block,no,2,AAA / no bootstrap overlay
TC-GEN-E2E-FROM-ANALYSIS,tc_gen,e2e_tc_analysis_rules.py,E2E_TC_FROM_ANALYSIS_RULES,4200,engine_generation_rules(e2e),tc_gen_e2e,e2e,required,traceability;flows;path;auth-who;coverage,full_block,no,2,Output-driven SoT for E2E TC
TC-GEN-E2E-FROM-ANALYSIS-FAST,tc_gen,e2e_tc_analysis_rules.py,E2E_TC_FROM_ANALYSIS_RULES_FAST,1200,engine_generation_rules(e2e speed),tc_gen_e2e,e2e,optional,traceability;speed,full_block,no,3,
TC-GEN-E2E-OVERLAY,tc_gen,tc_generation_rules.py,engine_generation_rules e2e overlay,900,engine_generation_rules(e2e),tc_gen_e2e,e2e,required,auth-hint;target-url;focus;speed,full_block,no,2,
UUTGS-FULL,unit_codegen,uutgs_rules.py,UUTGS_SPEC,5450,unit_system_prompt via uutgs_system_block,unit_codegen,unit,required,unit;mock;assertion;isolation;naming;portable;sut,full_block,no,2,Entire spec every unit gen — primary token cost
UUTGS-EMIT-CONSTRAINTS,unit_codegen,base.py,unit_system_prompt emit section,600,unit_system_prompt,unit_codegen,unit,required,output;path;imports;stack,full_block,no,2,Per-job stack bits
UUTGS-NODE-TYPES,unit_codegen,base.py,_node_test_types_rule,400,unit_system_prompt,unit_codegen,unit,required,typescript;jest;vitest;types,full_block,no,2,TS2593 guard for AItest files
UUTGS-BOOTSTRAP-SAFETY,unit_codegen,base.py,_unit_bootstrap_safety_rule,500,unit_system_prompt,unit_codegen,unit,required,bootstrap;nest;forbidden-entry,full_block,no,2,
UUTGS-CSHARP-IMPORT,unit_codegen,base.py,_unit_csharp_import_rule,350,unit_system_prompt,unit_codegen,unit,required,csharp;xunit;imports,full_block,no,3,C# only when language matches
E2ECG-FULL,e2e_codegen,e2e_codegen_rules.py,E2E_CODEGEN_SPEC,10500,e2e_system_prompt via e2ecg_system_block,e2e_codegen,e2e,required,playwright;auth;locator;journey;dor;portable,full_block,no,2,Rules 1–33 monolithic inject
E2ECG-JOURNEY-POINTER,e2e_codegen,e2e_journey_rules.py,E2E_FEATURE_JOURNEY_RULES,200,e2e_system_prompt,e2e_codegen,e2e,required,journey;pointer,full_block,no,2,Thin pointer to E2ECG
E2ECG-GROUNDING-POINTER,e2e_codegen,e2e_grounding_rules.py,e2e_grounding_system_pointer,120,e2ecg_system_block,e2e_codegen,e2e,required,grounding;pointer,full_block,no,2,
E2ECG-GROUNDING-FULL,e2e_codegen,e2e_grounding_rules.py,E2E_GROUNDING_RULES,1900,not in system prompt today,e2e_codegen,e2e,optional,grounding;path;locator;fail-closed,reference_only,no,3,Full text in mdc; pointer in prompt
E2ECG-JOURNEY-CHECKLIST,e2e_codegen,e2e_journey_rules.py,e2e_journey_user_checklist,variable,e2e_user_prompt,e2e_codegen,e2e,recommended,validation;rbac;modal;per-tc,per_job_user,no,3,Keyword hints per TC in user prompt
E2ECG-AUTH-OVERLAY,e2e_codegen,base.py,e2e_system_prompt auth/heal overlays,1500,e2e_system_prompt,e2e_codegen,e2e,required,auth;storage-state;heal,full_block,no,2,Conditional blocks in base.py
API-GEN-inline,api_codegen,base.py,api_system_prompt,450,api_system_prompt,api_codegen,api,required,api;http;status;openapi,full_block,no,4,No separate rules file
LAYER-PROJECT-USER,all,ai_rules.py,append_layered_rules / rules_pair_from_meta,0–8000,unit_system_prompt;e2e_system_prompt;jobs TC gen,unit_codegen;e2e_codegen;tc_gen,all,optional,project-rules;user-rules,layered_append,no,1,From project.meta.aiRules; capped ~2–4k per tier
RUNTIME-E2E-GUARD,e2e_codegen,e2e_codegen_guard.py,e2e_codegen_guard,0,runtime post-gen rewrite,e2e_codegen;e2e_heal,e2e,required,locator;env;import;dor,runtime_guard,yes,0,Deterministic — not LLM retrieve
RUNTIME-E2E-JOURNEY-ENFORCE,e2e_codegen,e2e_journey_enforce.py,e2e_journey_enforce,0,runtime journey check,e2e_codegen,e2e,required,journey;workflow,runtime_guard,yes,0,
RUNTIME-FAILURE-TAXONOMY,all,failure_taxonomy.py,failure_taxonomy,0,repair packet classify,unit_heal;e2e_heal,unit;e2e,required,errors;repair,runtime_only,yes,0,Aligns with E2ECG error names
DESKTOP-E2E-DOR,desktop_gate,assertTcReadyForE2eGen.ts,assertTcReadyForE2eGen,0,e2eJobRunner pre-gen,e2e_codegen,e2e,required,dor;path;context,desktop_gate,yes,0,Skip gen if TC not ready
DESKTOP-UNIT-LAYOUT,desktop_gate,unitWorkspace/*,auto layout rules,0,unit apply layout,unit_codegen,unit,optional,layout;output-path,desktop_only,yes,0,
DEV-CURSOR-ANALYSIS,dev_cursor,.cursor/rules/requirement-analysis.mdc,full doc,0,Cursor IDE only,dev,analysis,n/a,analysis;12-buckets,dev_only,no,0,Pointer to runtime SoT
DEV-CURSOR-E2E-CODEGEN,dev_cursor,.cursor/rules/e2e-codegen.mdc,full doc,0,Cursor IDE only,dev,e2e,n/a,e2ecg,dev_only,no,0,
DEV-CURSOR-UUTGS,dev_cursor,.cursor/rules/uutgs-unit-codegen.mdc,full doc,0,Cursor IDE only,dev,unit,n/a,uutgs,dev_only,no,0,
DEV-CURSOR-E2E-TC,dev_cursor,.cursor/rules/e2e-tc-from-analysis.mdc,full doc,0,Cursor IDE only,dev,e2e,n/a,tc-gen-e2e,dev_only,no,0,
DEV-CURSOR-UNIT-TC,dev_cursor,.cursor/rules/unit-tc-from-analysis.mdc,full doc,0,Cursor IDE only,dev,unit,n/a,tc-gen-unit,dev_only,no,0,
DEV-CURSOR-E2E-GROUNDING,dev_cursor,.cursor/rules/e2e-grounding.mdc,full doc,0,Cursor IDE only,dev,e2e,n/a,grounding,dev_only,no,0,
DEV-CURSOR-E2E-JOURNEY,dev_cursor,.cursor/rules/e2e-feature-journey.mdc,full doc,0,Cursor IDE only,dev,e2e,n/a,journey,dev_only,no,0,
DOCS-AI-TEST-RULES,docs_pointer,docs/AI_TEST_RULES.md,pointer doc,0,human/docs,all,all,n/a,pointer,docs_only,no,0,Not runtime inject
